ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
tam-343_0,tam-343,danim,1,- - - k - -,
tam-343_1,tam-343,emp,2,r e,
tam-343_2,tam-343,emp,3,r e,
tri-344_0,tri-344,danim,1,m əə - - - -,
tri-344_1,tri-344,emp,2,r ə,
wai-345_0,wai-345,danim,1,m ɨ - k - -,
wai-345_1,wai-345,emp,2,r o,
way-346_0,way-346,danim,1,m ə - k - -,
way-346_1,way-346,emp,2,r ə,
way-346_2,way-346,emp,3,r ə,
apa-347_0,apa-347,danim,1,m o - k - -,
apa-347_1,apa-347,pl2,2,- a - - -,
apa-347_2,apa-347,emp,3,r o,
car-348_0,car-348,danim,1,m ə - k - -,
car-348_1,car-348,pl2,2,- a - m o,
car-348_2,car-348,emp,3,r o,
hix-349_0,hix-349,danim,1,m o - k - -,
hix-349_1,hix-349,pl2,2,j a - m o,
ing-350_0,ing-350,danim,1,m ɨ - k ɨ -,
ing-350_1,ing-350,pl2,2,j a - m ə,
ing-351_0,ing-351,danim,1,- - - k - -,
ing-351_1,ing-351,pl2,2,- a - m o,
ing-351_2,ing-351,emp,3,r o,
kar-352_0,kar-352,danim,1,m o ʔ k - -,
kar-352_1,kar-352,pl2,2,- a - - -,
kar-352_2,kar-352,emp,3,r o,
kax-353_0,kax-353,danim,1,m o - k - -,
kax-353_1,kax-353,pl2,2,j a - - -,
kax-353_2,kax-353,emp,3,r ɨ,
mac-354_1,mac-354,danim,2,- n - k - -,
mac-354_2,mac-354,pl2,3,- a - m o,
mac-354_3,mac-354,emp,4,r o,
mak-355_0,mak-355,danim,1,- - - k - -,
mak-355_1,mak-355,pl2,2,- a - n -,
mak-355_2,mak-355,emp,3,n o,
pan-356_0,pan-356,danim,1,- - - k - -,
pan-356_1,pan-356,pl2,2,- a - m ə,
pan-356_2,pan-356,emp,3,n -,
pan-356_3,pan-356,pl3,4,t o n -,
PTar-358_0,PTar-358,danim,1,m ə - k ɨ -,
PTar-358_1,PTar-358,emp,2,r ə,
PTar-358_2,PTar-358,pl2,3,j a - m o,
tam-359_0,tam-359,danim,1,- - - k - -,
tam-359_1,tam-359,pl2,2,- i a m o,
tam-359_2,tam-359,emp,3,r o,
tri-360_0,tri-360,danim,1,m əə - - - -,
tri-360_1,tri-360,pl2,2,j a - m o,
way-361_0,way-361,danim,1,m ə - k - -,
way-361_1,way-361,pl2,2,j a - - -,
way-361_2,way-361,emp,3,r ə,
aka-362_0,aka-362,minan,1,m ə r ə,
aku-363_0,aku-363,minan,1,m ə r ə,
apa-364_0,apa-364,minan,1,m o r o,
ara-365_0,ara-365,minan,1,m o r o,
bak-366_0,bak-366,minan,1,m ə r ə,
car-367_0,car-367,minan,1,m ə r ə,
hix-368_0,hix-368,minan,1,m o r o,
ing-369_0,ing-369,minan,1,m ə r ə,
kar-370_0,kar-370,minan,1,m o r o,
kax-371_0,kax-371,minan,1,m o r o,
mac-372_0,mac-372,minan,1,m ɨ r ɨ,
mac-372_1,mac-372,emp,2,r ɨ,
mak-373_0,mak-373,minan,1,m ə r ə,
map-374_0,map-374,minan,1,m ə r ɨ,
pan-375_0,pan-375,minan,1,m ə n -,
pem-376_0,pem-376,minan,1,m ə r ə,
PPar-377_0,PPar-377,minan,1,m o r o,
PPek-378_0,PPek-378,minan,1,m ə r ə,
PPem-379_0,PPem-379,minan,1,m ə r ə,
PPP-380_0,PPP-380,minan,1,m ə r ə,
PTar-381_0,PTar-381,minan,1,m ə r ə,
PWai-382_0,PWai-382,minan,1,m o r o,
PXin-383_0,PXin-383,minan,1,m o r o,
tam-384_0,tam-384,minan,1,m o r e,
tri-385_0,tri-385,minan,1,m ə r ə,
uxc-386_0,uxc-386,minan,1,- e ɣ e,
wai-387_0,wai-387,minan,1,m o r o,
way-388_0,way-388,minan,1,m ə r ə,
wmr-389_0,wmr-389,minan,1,m ɨ r ɨ,
yab-390_0,yab-390,minan,1,m ə r ə,
apa-391_0,apa-391,minan,1,m o r o,
apa-391_1,apa-391,pl4,2,ʔ n e,
ing-392_0,ing-392,minan,1,m ə r ə,
ing-392_1,ing-392,pl2,2,j a - m ə,
kar-393_0,kar-393,minan,1,m o r o,
kar-393_1,kar-393,pl1,2,k o n -,
pan-395_0,pan-395,dinan,1,m ə n -,
pan-395_1,pan-395,pl1,2,k o n -,
tri-396_0,tri-396,minan,1,m ə r ə,
tri-396_1,tri-396,pl3,2,t o m o,
way-397_0,way-397,minan,1,m ə r ə,
way-397_1,way-397,pl1,2,k o m o,
aku-398_0,aku-398,panim,1,m ə ʔ - e,
apa-399_0,apa-399,panim,1,m o s - e,
ara-400_0,ara-400,panim,1,m o d - e,
ara-400_1,ara-400,xinsg,2,n,
bak-401_0,bak-401,panim,1,m e - - -,
bak-401_1,bak-401,emp,2,r ə,
car-402_0,car-402,panim,1,m ə h - ə,
hix-403_0,hix-403,panim,1,m o s - o,
ikp-404_0,ikp-404,panim,1,- o r - e,
ikp-404_1,ikp-404,xinsg,2,n,
kar-405_0,kar-405,panim,1,m o ʔ s e,
kax-406_0,kax-406,panim,1,m o s - o,
kax-406_1,kax-406,emp,2,r o,
mac-407_0,mac-407,panim,1,m ɨ s - e,
mac-407_1,mac-407,emp,2,r ɨ,
map-408_0,map-408,panim,1,m e h - e,
pan-409_0,pan-409,panim,1,m ə h - -,
pem-410_0,pem-410,panim,1,m ə s - ə,
pem-410_1,pem-410,emp,2,r ə,
PPar-411_0,PPar-411,panim,1,m o s - o,
PPar-411_1,PPar-411,emp,2,r o,
PPek-412_0,PPek-412,panim,1,m ə t - e,
PPek-412_1,PPek-412,emp,2,r ə,
PPem-413_0,PPem-413,panim,1,m ə s - e,
PPP-414_0,PPP-414,panim,1,m ə s - e,
PTar-415_0,PTar-415,panim,1,m ə t͡ʃ - e,
PWai-416_0,PWai-416,panim,1,m o s - o,
PXin-417_0,PXin-417,panim,1,m o d - e,
PXin-417_1,PXin-417,xinsg,2,n,
tam-418_0,tam-418,panim,1,m o t͡ʃ - e,
tri-419_0,tri-419,panim,1,m ə - - e,
uxc-420_0,uxc-420,panim,1,- e s - e,
wai-421_0,wai-421,panim,1,m o s - o,
way-422_0,way-422,panim,1,m ə s - i,
way-423_0,way-423,panim,1,m ə h - e,
way-423_1,way-423,emp,2,r ə,
