ID,Language_ID,Form,Segments,Comment,Source,Parameter_ID
aka-107,aka,urəʔnokon,u + r ə + ʔ n o + k o n,,stegeman2014akawaio[97],12pl
aku-108,aku,kɨ(mə)njamo,k ɨ + m ə + n + j a m o,,meira1998proto[64],12pl
apa-109,apa,kɨmarokomo,k ɨ + m a + r o + k o m o,,koehn1986apalai[95],12pl
ara-110,ara,ugoroŋmo,u g o + r o + ŋ m o,,souza1993arara,12pl
car-111,car,kɨɲamoro,k ɨ + ɲ + a m o + r o,,guerrero2019carijo[76],12pl
hix-112,hix,kɨwjamo,k ɨ + w + j a m o,,hixkaryanaderby1985[7],12pl
ikp-113,ikp,ugroŋmo,u g + r o + ŋ m o,,ikpengpacheco2001[119],12pl
ing-114,ing,urəʔnokon,u + r ə + ʔ n o + k o n,,cruz2005fonologia[162],12pl
kar-115,kar,kɨʔkaro(n),k ɨ + ʔ k + a + r o + n,Surinamese Kari’ña. Final /n/ only in eastern Surinamese.,courtz2008carib[52],12pl
kar-116,kar,kɨmojaro,k ɨ + m o + j a + r o,Venezuelan Kari’ña,courtz2008carib[52],12pl
kax-117,kax,kɨmjarɨ,k ɨ + m + j a + r ɨ,,,12pl
mac-118,mac,uurɨʔnɨkon,uu + r ɨ + ʔ n ɨ + k o n,,macushiabbott1991[99],12pl
mak-119,mak,kɨnwanno,k ɨ + n + w a n + n o,,maquiritaricaceres2011[167],12pl
pan-120,pan,jutakon,j u + t a + k o n,,panarepayne2013[88],12pl
pem-121,pem,juurənokon,j uu + r ə + n o + k o n,,garcia2006diccionario[64],12pl
pem-122,pem,juurətokon,j uu + r ə + t o + k o n,,garcia2006diccionario[64],12pl
PPar-123,PPar,kɨ?jamo(ro),k ɨ + + j a m o + r o,,,12pl
PPem-124,PPem,jurəʔnokon,j u + r ə + ʔ n o + k o n,,,12pl
PTar-125,PTar,kɨnjamo,k ɨ + n + j a m o,,meira1998proto[64],12pl
PTir-126,PTir,kɨ(mə)njamo,k ɨ + m ə + n + j a m o,,,12pl
PWai-127,PWai,kɨwjamo,k ɨ + w + j a m o,,,12pl
PXin-128,PXin,ugoroŋmo,u g o + r o + ŋ m o,,,12pl
tam-129,tam,kikemo,k i + k e m o,First vowel is probably ɨ.,meira2002first[258],12pl
tri-130,tri,kɨmənjamo,k ɨ + m ə + n + j a m o,,triomeira1999[152],12pl
uxc-131,uxc,kukuɣeko,k u k u + ɣ e + k o,,kuikurodossantos2007[55],12pl
wai-132,wai,kɨwjam,k ɨ + w + j a m,,,12pl
way-133,way,kunməramkomo,k u + n + m ə + r + a m + k o m o,,wayanatavares2005[180],12pl
aka-134,aka,ina,i n a,,stegeman2014akawaio[61],13
aku-135,aku,anja,a n j a,,meira1998proto[159],13
apa-136,apa,ɨna,ɨ n a,,koehn1986apalai[95],13
ara-137,ara,t͡ʃimna,t͡ʃ i + m n a,,souza1993arara,13
bak-138,bak,ʃina,ʃ i + n a,,meira2005southern[180],13
car-139,car,aɲa,a ɲ a,,guerrero2019carijo[76],13
hix-140,hix,amna,a m n a,,hixkaryanaderby1985[7],13
ikp-141,ikp,t͡ʃimna,t͡ʃ i + m n a,,ikpengpacheco2001[284],13
ing-142,ing,ina,i n a,,cruz2005fonologia[162],13
kar-143,kar,naʔna,n a ʔ n a,,courtz2008carib[53],13
kax-144,kax,amna,a m n a,,schuring2018kaxuyana[94],13
mac-145,mac,anna,a n n a,,macushiabbott1991[99],13
mak-146,mak,nɲa,n ɲ a,,maquiritaricaceres2011[167],13
map-147,map,naha,n a h a,,mattei2003pemono[48],13
pan-148,pan,ana,a n a,,panarepayne2013[88],13
pem-149,pem,inna,i n n a,,swiggers2010gramatica[120],13
PMan-150,PMan,ana,a n a,,,13
pno-151,pno,ana,a n a,,mattei2003pemono[48],13
PPar-152,PPar,amna,a m n a,,,13
PPek-153,PPek,t͡ʃimna,t͡ʃ i + m n a,,,13
PPem-154,PPem,inna,i n n a,,,13
PPP-155,PPP,inna,i n n a,,,13
PTar-156,PTar,anja,a n j a,,meira1998proto[64],13
PTir-157,PTir,anja,a n j a,,,13
PWai-158,PWai,amna,a m n a,,,13
PXin-159,PXin,t͡ʃimna,t͡ʃ i + m n a,,,13
tam-160,tam,jumna,j u + m n a,,gilij1782saggio[5],13
tri-161,tri,anja,a n j a,,triomeira1999[152],13
uxc-162,uxc,tisuɣe,t i s + u + ɣ e,,kuikurodossantos2007[55],13
wai-163,wai,amna,a m n a,,hawkins2015dictionary,13
way-164,way,emna,e m n a,,wayanatavares2005[180],13
wmr-165,wmr,aʔa,a ʔ a,,waimiribruno2003[77],13
yab-166,yab,ana,a n a,,mattei2003pemono[49],13
yuk-167,yuk,nana(r),n a n a + r,,largo2011yukpa[57],13
aka-168,aka,amərəʔnokon,a m ə + r ə + ʔ n o + k o n,,akawaiocaesar2003[520],2pl
aku-169,aku,əmənjamo,ə m ə + n + j a m o,,meira1998proto[64],2pl
apa-170,apa,amarakomo,a m a + r a + k o m o,,koehn1986apalai[95],2pl
ara-171,ara,omoroŋmo,o m o + r o + ŋ m o,,souza1993arara,2pl
bak-172,bak,əmaremo,ə m a + r + e m o,,meira2005bakairi,2pl
car-173,car,aɲamoro,a ɲ + a m o + r o,ɲ is from mə+j,guerrero2019carijo[76],2pl
hix-174,hix,omɲamo,o m + ɲ a m o,,hixkaryanaderby1985[7],2pl
ikp-175,ikp,omroŋmo,o m + r o + ŋ m o,,ikpengpacheco2001[119],2pl
ing-176,ing,amərəʔnokon,a m ə + r ə + ʔ n o + k o n,,cruz2005fonologia[162],2pl
kar-177,kar,amɨjaro(n),a m ɨ + j a + r o + n,Final /n/ only in eastern Surinamese.,courtz2008carib[52],2pl
kax-178,kax,omjarɨ,o m + j a + r ɨ,,,2pl
mac-179,mac,amɨrɨʔnɨkon,a m ɨ + r ɨ + ʔ n ɨ + k o n,,macushiabbott1991[99],2pl
mak-180,mak,ənwanno,ə n + w a n + n o,,maquiritaricaceres2011[167],2pl
map-181,map,akontomo,a + k o n + t o m o,,mattei2003pemono[48],2pl
pan-182,pan,amənton,a m ə + n + t o n,,panarepayne2013[88],2pl
PC-183,PC,əmjamo,ə m + j a m o,,meira2002first[271],2pl
pem-184,pem,amərənokon,a m ə + r ə + n o + k o n,,swiggers2010gramatica[120],2pl
PMan-185,PMan,məkontomo,m ə + k o n + t o m o,,,2pl
pno-186,pno,mokontomo,m o + k o n + t o m o,,mattei2003pemono[48],2pl
PPar-187,PPar,omjamo(ro),o m + j a m o + r o,,,2pl
PPek-188,PPek,əmərəjamo,ə m ə + r ə + j a m o,,,2pl
PPem-189,PPem,amərəʔnokon,a m ə + r ə + ʔ n o + k o n,,,2pl
PPP-190,PPP,amərə?,a m ə + r ə +,,,2pl
PTar-191,PTar,ənjamo,ə n + j a m o,,meira1998proto[64],2pl
PTir-192,PTir,əmənjamo,ə m ə + n + j a m o,,,2pl
PWai-193,PWai,omjamo(ro),o m + j a m o + r o,,,2pl
PXin-194,PXin,omoroŋmo,o m o + r o + ŋ m o,,,2pl
tam-195,tam,amɲamoro,a m + ɲ a m o + r o,,meira2002first[258],2pl
tri-196,tri,əmənjamo,ə m ə + n + j a m o,,triomeira1999[152],2pl
uxc-197,uxc,amaɣo,a m + a + ɣ o,,kuikurodossantos2007[55],2pl
wai-198,wai,amjamro,a m + j a m + r o,,,2pl
way-199,way,əməramkomo,ə m ə + r + a m + k o m o,,wayanatavares2005[180],2pl
wmr-200,wmr,amɨrɨtɨ,a m ɨ + r ɨ + t ɨ,,meira2002first[258],2pl
yab-201,yab,montomo,m o + n + t o m o,,mattei2003pemono[49],2pl
yuk-202,yuk,amora,a m o + r + a,,meira2003primeras,2pl
aku-203,aku,nərə,n ə r ə,,meiraDBakuriyo,3anaanim
apa-204,apa,ɨnoro,ɨ n o r o,,koehn1986apalai[95],3anaanim
bak-205,bak,inəra,i n ə r a,,meira2002first[269],3anaanim
car-206,car,nərə,n ə r ə,,guerrero2019carijo[86],3anaanim
hix-207,hix,noro,n o r o,,hixkaryanaderby1985[7],3anaanim
kar-208,kar,inoro,i n o r o,,courtz2008carib[53],3anaanim
kar-209,kar,ɲoro,ɲ o r o,Venezuelan Kari’ña,mosonyi1978kalina[35],3anaanim
kax-210,kax,noro,n o r o,,,3anaanim
mak-211,mak,ɲəərə,ɲ əə r ə,,maquiritaricaceres2011[122],invisanim
PPar-212,PPar,noro,n o r o,,,3anaanim
PTar-213,PTar,nə(ə)rə,n əə r ə,,meira1998proto[67],3anaanim
PTir-214,PTir,nərə,n ə r ə,,,3anaanim
PWai-215,PWai,noro,n o r o,,,3anaanim
tam-216,tam,nare,n a r e,Probably nərə.,meira2002first[269],3anaanim
tri-217,tri,nərə,n ə r ə,,triomeira1999[154],3anaanim
uxc-218,uxc,ɨŋele,ɨ ŋ e l e,,kuikurodossantos2007[55],3anaanim
wai-219,wai,noro,n o r o,,,3anaanim
way-220,way,inərə(rə),i n ə r ə + r ə,,wayanatavares2005[183],3anaanim
aku-221,aku,namoro,n + a m o + r o,,meira2002first[269],3anaanimpl
apa-222,apa,ɨnaro,ɨ n a r o,,koehn1986apalai[95],3anaanimpl
car-223,car,namoro,n + a m o + r o,,guerrero2019carijo[86],3anaanimpl
hix-224,hix,ɲamoro,ɲ + a m o + r o,,hixkaryanaderby1985[7],3anaanimpl
kar-225,kar,inaro(n),i n a r o + n,Final /n/ only in eastern Surinamese.,courtz2008carib[53],3anaanimpl
kar-226,kar,ɲorokon,ɲ o r o + k o n,Venezuelan Kari’ña. Also check ɲoronnekonro (?) in Alvarez 2016!,mosonyi1978kalina[35],3anaanimpl
kax-227,kax,namorjamɨ,n + a m o + r + j a m ɨ,,,3anaanimpl
mak-228,mak,(n)ɲanno,n + ɲ a n + n o,Assimilation of rə to ro / *-jamo _,maquiritaricaceres2011[122];maquiritarihall1988[50],invisanimpl
PPar-229,PPar,inamoro,i n + a m o + r o,,,3anaanimpl
PTar-230,PTar,namo,n + a m o,,meira1998proto[67],3anaanimpl
PTir-231,PTir,namo(ro),n + a m o + r o,,,3anaanimpl
PWai-232,PWai,inamoro,i n + a m o + r o,,,3anaanimpl
tri-233,tri,namo,n + a m o,,triomeira1999[154],3anaanimpl
uxc-234,uxc,(ɨ)naɣo,ɨ n + a + ɣ o,Assimilation of rə to ro / *-jamo _,kuikurodossantos2007[55],3anaanimpl
wai-235,wai,ɲeʃamro,ɲ e + ʃ a m + r o,,,3anaanimpl
way-236,way,inamoro,i n + a m o + r o,,wayanatavares2005[183],3anaanimpl
aku-237,aku,irə,i r ə,,meira2002first[266],3anainan
apa-238,apa,ɨro,ɨ r o,,koehn1986apalai[95],3anainan
bak-239,bak,ilə,i l ə,,meiraDBbakairi,3anainan
car-240,car,irə,i r ə,,guerrero2019carijo[86],3anainan
hix-241,hix,ɨro,ɨ r o,,hixkaryanaderby1985[7],3anainan
kar-242,kar,iro,i r o,,courtz2008carib[53],3anainan
kax-243,kax,iro,i r o,,,3anainan
mak-244,mak,ijə,i j ə,,maquiritaricaceres2011[122],invisinan
PPar-245,PPar,iro,i r o,,,3anainan
PTar-246,PTar,irə,i r ə,,meira1998proto[67],3anainan
PTir-247,PTir,irə,i r ə,,,3anainan
PWai-248,PWai,ɨro,ɨ r o,,,3anainan
tri-249,tri,irə,i r ə,,triomeira1999[154],3anainan
uxc-250,uxc,ile,i l e,,kuikurodossantos2007[57],3anainan
uxc-251,uxc,ɨle,ɨ l e,,kuikurodossantos2007[55],3anainan
wai-252,wai,ero,e r o,,waiwaihawkins1998[55],3anainan
way-253,way,irə,i r ə,,meira2002first[266],3anainan
wmr-254,wmr,irɨ,i r ɨ,,waimiribruno2003[77],3ana
kar-255,kar,irokon,i r o + k o n,,courtz2008carib[53],3anainanpl
kax-256,kax,ironne,i r o + n n e,,,3anainanpl
tri-257,tri,irəto(mo),i r ə + t o m o,,triomeira1999[154],3anainanpl
apa-258,apa,mokɨ,m o k ɨ,,koehn1986apalai[95],distanim
ara-259,ara,mook,m oo k,,alves2017arara[167],distanim
