"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"PTar","kɨ+n+jamo","1+2PL","1+2PL","1a2+mform+PL-2","meira1998proto[64]",
"kax","kɨ+m+ja+rɨ","1+2PL","1+2PL","1a2+mform+PL-2+EMP",,
"mak","kɨ+n+wan+no","1+2PL","1+2PL","1a2+mform+PL-2+EMP","maquiritaricaceres2011[167]",
"hix","kɨ+w+jamo","1+2PL","1+2PL","1a2+wform+PL-2","hixkaryanaderby1985[7]",
"PWai","kɨ+w+jamo","1+2PL","1+2PL","1a2+wform+PL-2",,
"wai","kɨ+w+jam","1+2PL","1+2PL","1a2+wform+PL-2",,
"PPek","uku+rə+?","1+2PL","1+2PL","uku+EMP+?",,
"ara","ugo+ro+ŋmo","1+2PL","1+2PL","uku+EMP+PL-1","souza1993arara",
"ikp","ug+ro+ŋmo","1+2PL","1+2PL","uku+EMP+PL-1","ikpengpacheco2001[119]",
"uxc","kuku+ɣe+ko","1+2PL","1+2PL","uku+EMP+PL-1","kuikurodossantos2007[55]",
"way","ku+nmə+r+am+komo","1+2PL","1+2PL","uku+mform+EMP+PL-2+PL-1","wayanatavares2005[180]",
"uxc","tis+u+ɣe","1+3","1+3","?+1+EMP","kuikurodossantos2007[55]",
"tam","ju+mna","1+3","1+3","1+1a3","gilij1782saggio[5]",
"aka","ina","1+3","1+3","1a3","stegeman2014akawaio[61]",
"aku","anja","1+3","1+3","1a3","meira1998proto[159]",
"apa","ɨna","1+3","1+3","1a3","koehn1986apalai[95]",
"car","aɲa","1+3","1+3","1a3","guerrero2019carijo[76]",
"hix","amna","1+3","1+3","1a3","hixkaryanaderby1985[7]",
"ing","ina","1+3","1+3","1a3","cruz2005fonologia[162]",
"kar","naʔna","1+3","1+3","1a3","courtz2008carib[53]",
"kax","amna","1+3","1+3","1a3","schuring2018kaxuyana[94]",
"mac","anna","1+3","1+3","1a3","macushiabbott1991[99]",
"mak","nɲa","1+3","1+3","1a3","maquiritaricaceres2011[167]",
"map","naha","1+3","1+3","1a3","mattei2003pemono[48]",
"pan","ana","1+3","1+3","1a3","panarepayne2013[88]",
"pem","inna","1+3","1+3","1a3","swiggers2010gramatica[120]",
"pno","ana","1+3","1+3","1a3","mattei2003pemono[48]",
"PMan","ana","1+3","1+3","1a3",,
"PPar","amna","1+3","1+3","1a3",,
"PPem","anna","1+3","1+3","1a3",,
"PPP","anna","1+3","1+3","1a3",,
"PTar","anja","1+3","1+3","1a3","meira1998proto[64]",
"PTir","anja","1+3","1+3","1a3",,
"PWai","amna","1+3","1+3","1a3",,
"tri","anja","1+3","1+3","1a3","triomeira1999[152]",
"wai","amna","1+3","1+3","1a3","hawkins2015dictionary",
"way","emna","1+3","1+3","1a3","wayanatavares2005[180]",
"wmr","aʔa","1+3","1+3","1a3","waimiribruno2003[77]",
"yab","ana","1+3","1+3","1a3","mattei2003pemono[49]",
"yuk","nana(+r)","1+3","1+3","1a3+EMP","largo2011yukpa[57]",
"ara","t͡ʃi+mna","1+3","1+3","ti+1a3","souza1993arara",
"bak","ʃi+na","1+3","1+3","ti+1a3","meira2005southern[180]",
"ikp","t͡ʃi+mna","1+3","1+3","ti+1a3","ikpengpacheco2001[284]",
