ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Contribution_ID
243_1,243,pl2,2,- j a m o,,pronouns
244_0,244,manim,1,- m o ʔ k -,,pronouns
244_1,244,pl2,2,- - a n -,,pronouns
245_0,245,manim,1,- m a k k -,,pronouns
245_1,245,pl2,2,- - a m o,,pronouns
246_0,246,manim,1,- m ə - k ɨ,,pronouns
246_1,246,pl2,2,- j a m o,,pronouns
247_0,247,manim,1,- m o - - -,,pronouns
247_1,247,pl2,2,- ʃ a m -,,pronouns
248_0,248,manim,1,- m ə - k -,,pronouns
248_1,248,pl2,2,- j a m o,,pronouns
249_0,249,dinan,1,m o n ɨ,,pronouns
250_0,250,dinan,1,m o n ɨ,,pronouns
251_0,251,dinan,1,m o n ɨ,,pronouns
252_0,252,dinan,1,m o n ɨ,,pronouns
253_0,253,dinan,1,m əə n ɨ,,pronouns
254_0,254,dinan,1,m ə n ɨ,,pronouns
255_0,255,dinan,1,m ɨ n ɨ,,pronouns
256_0,256,dinan,1,m ɨ n ɨ,,pronouns
257_0,257,uku,1,- u g -,,pronouns
257_1,257,pl2,2,- j a m -,,pronouns
259_1,259,pl4,2,ʔ n e,,pronouns
260_0,260,dinan,1,m o n ɨ,,pronouns
260_1,260,pl1,2,- k o n -,,pronouns
261_0,261,dinan,1,m ɨ n ɨ,,pronouns
261_1,261,pl1,2,- k o m o,,pronouns
262_0,262,dinan,1,m u - -,,pronouns
262_1,262,pl2,2,- j a m -,,pronouns
264_0,264,dinan,1,m ə n ɨ,,pronouns
265_0,265,manim,1,- m ɨ - k ɨ,,pronouns
266_0,266,manim,1,- m o ʔ k o,,pronouns
267_0,267,manim,1,- k ɨ - - -,,pronouns
267_1,267,emp,2,r ə,,pronouns
268_0,268,manim,1,- m o - k ɨ,,pronouns
268_1,268,emp,2,r o,,pronouns
269_0,269,manim,1,- m o - k -,,pronouns
269_1,269,emp,2,r o,,pronouns
270_0,270,manim,1,- m o - k o,,pronouns
270_1,270,emp,2,r o,,pronouns
271_0,271,manim,1,- m ɨɨ - k ɨ,,pronouns
271_1,271,emp,2,r ɨ,,pronouns
272_0,272,manim,1,- k ə - - -,,pronouns
272_1,272,emp,2,n -,,pronouns
273_0,273,manim,1,- m ə - ʔ -,,pronouns
273_1,273,emp,2,r ə,,pronouns
274_0,274,manim,1,- m ə - k ɨ,,pronouns
274_1,274,emp,2,r ə,,pronouns
275_0,275,manim,1,- m ə - k ɨ,,pronouns
275_1,275,emp,2,r ə,,pronouns
276_0,276,manim,1,- m ə - k ɨ,,pronouns
276_1,276,emp,2,r ə,,pronouns
277_0,277,manim,1,- m əə - - -,,pronouns
277_1,277,emp,2,r ə,,pronouns
278_0,278,manim,1,- m ɨ - k -,,pronouns
278_1,278,emp,2,r o,,pronouns
279_0,279,manim,1,- m ə - k -,,pronouns
279_1,279,emp,2,r ə,,pronouns
279_2,279,emp,3,r ə,,pronouns
281_0,281,manim,1,- m o - k -,,pronouns
281_1,281,pl2,2,- j a m o,,pronouns
282_0,282,manim,1,- m ɨ - k ɨ,,pronouns
282_1,282,pl2,2,- j a m ə,,pronouns
283_0,283,manim,1,- m o - k -,,pronouns
283_1,283,pl2,2,- - a - -,,pronouns
283_2,283,emp,3,r o,,pronouns
284_0,284,manim,1,- m o - k -,,pronouns
284_1,284,pl2,2,- j a - -,,pronouns
284_2,284,emp,3,r ɨ,,pronouns
285_0,285,manim,1,- m ə - k -,,pronouns
285_1,285,pl2,2,- j a - -,,pronouns
285_2,285,emp,3,r ə,,pronouns
286_0,286,manim,1,- m o ʔ k -,,pronouns
286_1,286,pl2,2,- - a - -,,pronouns
286_2,286,emp,3,r o,,pronouns
292_0,292,dinan,1,m ə n ɨ,,pronouns
293_0,293,minan,1,m ə r ə,,pronouns
294_0,294,minan,1,m ə r ə,,pronouns
295_0,295,minan,1,m o r o,,pronouns
296_0,296,minan,1,m ə r ə,,pronouns
297_0,297,minan,1,m ə r ə,,pronouns
298_0,298,minan,1,m o r o,,pronouns
299_0,299,minan,1,m ə r ə,,pronouns
300_0,300,minan,1,m o r o,,pronouns
301_0,301,minan,1,m o r o,,pronouns
302_0,302,minan,1,m ə r ə,,pronouns
303_0,303,minan,1,m ə n -,,pronouns
304_0,304,minan,1,m ə r ə,,pronouns
305_0,305,minan,1,m ə r ə,,pronouns
306_0,306,minan,1,m ə r ə,,pronouns
307_0,307,minan,1,m ə r ə,,pronouns
308_0,308,minan,1,m ə r ə,,pronouns
309_0,309,minan,1,m o r o,,pronouns
310_0,310,minan,1,m ə r ə,,pronouns
311_0,311,minan,1,m ɨ r ɨ,,pronouns
312_0,312,minan,1,m ə r ə,,pronouns
313_0,313,minan,1,m ɨ r ɨ,,pronouns
313_1,313,emp,2,r ɨ,,pronouns
316_0,316,dinan,1,m ə n -,,pronouns
316_1,316,pl1,2,- k o n -,,pronouns
317_0,317,minan,1,m o r o,,pronouns
317_1,317,pl1,2,- k o n -,,pronouns
318_0,318,minan,1,m ə r ə,,pronouns
318_1,318,pl1,2,- k o m o,,pronouns
319_0,319,minan,1,m ə r ə,,pronouns
319_1,319,pl2,2,- j a m ə,,pronouns
320_0,320,minan,1,m ə r ə,,pronouns
320_1,320,pl3,2,t o m o,,pronouns
321_0,321,minan,1,m o r o,,pronouns
321_1,321,pl4,2,ʔ n e,,pronouns
323_0,323,manim,1,- m ə - ʔ -,,pronouns
323_1,323,emp,2,r ə,,pronouns
324_0,324,panim,1,m o s e,,pronouns
325_0,325,panim,1,m o s e,,pronouns
326_0,326,panim,1,m ə h -,,pronouns
327_0,327,panim,1,m ə s e,,pronouns
328_0,328,panim,1,m ə s e,,pronouns
329_0,329,panim,1,m ə t͡ʃ e,,pronouns
330_0,330,panim,1,m ə - e,,pronouns
331_0,331,panim,1,- e s e,,pronouns
332_0,332,panim,1,m o s o,,pronouns
333_0,333,panim,1,m ə s i,,pronouns
334_0,334,panim,1,m o s o,,pronouns
335_0,335,panim,1,m o s o,,pronouns
335_1,335,emp,2,r o,,pronouns
336_0,336,panim,1,m ɨ s e,,pronouns
336_1,336,emp,2,r ɨ,,pronouns
337_0,337,panim,1,m ə s ə,,pronouns
337_1,337,emp,2,r ə,,pronouns
338_0,338,panim,1,m ə h e,,pronouns
338_1,338,emp,2,r ə,,pronouns
339_0,339,pinan1,1,- e r o,,pronouns
341_0,341,manim,1,- m ɨ - k -,,pronouns
341_1,341,pl2,2,- j a m -,,pronouns
342_0,342,panim,1,m o ʃ -,,pronouns
342_1,342,pl2,2,i - a m o,,pronouns
343_0,343,panim,1,m o ʃ -,,pronouns
343_1,343,pl2,2,- - a m o,,pronouns
344_0,344,panim,1,m ə t͡ʃ e,,pronouns
344_1,344,pl2,2,- t͡ʃ a m o,,pronouns
345_0,345,panim,1,m ə - e,,pronouns
345_1,345,pl2,2,- s a m o,,pronouns
346_0,346,panim,1,m ə h e,,pronouns
346_1,346,pl2,2,- - a m o,,pronouns
347_0,347,panim,1,m o ʔ -,,pronouns
347_1,347,pl2,2,- s a r o,,pronouns
348_0,348,panim,1,m o ʔ -,,pronouns
348_1,348,pl2,2,- t͡ʃ a - -,,pronouns
348_2,348,emp,3,r ɨ,,pronouns
349_0,349,panim,1,m ə h -,,pronouns
349_1,349,pl2,2,- - a - -,,pronouns
349_2,349,emp,3,r ə,,pronouns
350_0,350,panim,1,m ə h -,,pronouns
350_1,350,pl2,2,- t͡ʃ a n -,,pronouns
350_2,350,pl3,3,t o n -,,pronouns
355_1,355,pinan2,2,s i n -,,pronouns
356_0,356,pinan1,1,s e r ə,,pronouns
357_0,357,pinan1,1,t͡ʃ e r ə,,pronouns
358_0,358,pinan1,1,ʃ i r ə,,pronouns
359_0,359,pinan1,1,- ə r ə,,pronouns
360_0,360,pinan1,1,- e r o,,pronouns
361_0,361,pinan1,1,s o r o,,pronouns
362_0,362,pinan1,1,- e r ə,,pronouns
363_0,363,pinan1,1,s ɨ h -,,pronouns
364_0,364,pinan1,1,s ə r ə,,pronouns
365_0,365,pinan1,1,t͡ʃ e r ə,,pronouns
366_0,366,pinan1,1,s e r ə,,pronouns
367_0,367,pinan1,1,- i ɣ e,,pronouns
368_0,368,pinan1,1,h e r ə,,pronouns
369_0,369,pinan1,1,s ə - -,,pronouns
369_1,369,emp,2,r ə,,pronouns
370_0,370,pinan1,1,s ɨ r ɨ,,pronouns
370_1,370,emp,2,r ɨ,,pronouns
371_0,371,pinan2,1,s e n ɨ,,pronouns
372_0,372,pinan2,1,- e n ɨ,,pronouns
373_0,373,pinan2,1,- o n ɨ,,pronouns
374_0,374,pinan2,1,- e n ɨ,,pronouns
375_0,375,pinan2,1,s e n i,,pronouns
376_0,376,pinan2,1,t͡ʃ e n ɨ,,pronouns
377_0,377,pinan2,1,s e n ɨ,,pronouns
378_0,378,pinan2,1,s i n ɨ,,pronouns
379_0,379,pinan2,1,s e n i,,pronouns
384_1,384,pl2,2,- j a m -,,pronouns
385_0,385,pinan1,1,s ə - -,,pronouns
385_1,385,emp,2,r ə,,pronouns
385_2,385,pl2,3,- j a m ə,,pronouns
386_0,386,pinan1,1,- e r o,,pronouns
386_1,386,pl1,2,- k o n -,,pronouns
387_0,387,pinan1,1,h e r ə,,pronouns
387_1,387,pl1,2,- k o m o,,pronouns
388_0,388,pinan2,1,s o r o,,pronouns
389_0,389,pinan2,1,- e n ɨ,,pronouns
389_1,389,pl1,2,- k o n -,,pronouns
390_0,390,pinan2,1,s i n -,,pronouns
390_1,390,pl1,2,- k o m o,,pronouns
392_1,392,pl2,2,- j a m o,,pronouns
393_0,393,1,1,- - uu,,pronouns
393_1,393,emp,2,r ɨ,,pronouns
393_2,393,pl3,3,ʔ - - -,,pronouns
393_3,393,pl1,4,- k o n -,,pronouns
394_0,394,1,1,- j uu,,pronouns
394_1,394,emp,2,r ə,,pronouns
394_2,394,pl3,3,t o - -,,pronouns
394_3,394,pl1,4,- k o n -,,pronouns
395_0,395,1a2,1,k ɨ,,pronouns
395_2,395,emp,3,r o,,pronouns
396_0,396,1a2,1,k ɨ,,pronouns
396_1,396,wform,2,w ɨ,,pronouns
396_2,396,emp,3,r o,,pronouns
397_0,397,1a3,1,- a m n - a,,pronouns
398_0,398,2,1,- a m o,,pronouns
398_1,398,emp,2,r -,,pronouns
398_2,398,pl2,3,- - a - -,,pronouns
399_0,399,2,1,- a m ɨ,,pronouns
399_1,399,emp,2,r ɨ,,pronouns
399_3,399,pl1,4,- k o n -,,pronouns
400_0,400,2,1,- a m ə,,pronouns
400_1,400,emp,2,r ə,,pronouns
