ID,Language_ID,Form,Segments,Comment,Source,Contribution_ID,Parameter_ID
43,ara,omoro,o m o + r o,,souza1993arara,pronouns,2
44,car,əmərə,ə m ə + r ə,,guerrero2019carijo[76],pronouns,2
45,hix,omoro,o m o + r o,,hixkaryanaderby1985[7],pronouns,2
46,ikp,omro,o m + r o,,ikpengpacheco2001[119],pronouns,2
47,ing,amərə,a m ə + r ə,,cruz2005fonologia[162],pronouns,2
48,kar,amoro,a m o + r o,,courtz2008carib[52],pronouns,2
49,kax,omoro,o m o + r o,,schuring2018kaxuyana[94],pronouns,2
50,mac,amɨrɨ,a m ɨ + r ɨ,,macushiabbott1991[99],pronouns,2
51,mak,amərə,a m ə + r ə,,maquiritaricaceres2011[167],pronouns,2
52,map,(m)ərə,m ə + r ə,,muller1975mapoyo[64],pronouns,2
53,pan,amən,a m ə + n,,panarepayne2013[88],pronouns,2
54,PC,əmə(rə),ə m ə + r ə,,,pronouns,2
55,pem,amərə,a m ə + r ə,,swiggers2010gramatica[120],pronouns,2
56,pno,mərə,m ə + r ə,,mattei2003pemono[48],pronouns,2
57,PMan,mərə,m ə + r ə,,mattei2003pemono[48],pronouns,2
58,PPar,omoro,o m o + r o,,,pronouns,2
59,PPek,əmə(rə),ə m ə + r ə,,,pronouns,2
60,PPem,amərə,a m ə + r ə,,,pronouns,2
61,PPP,amərə,a m ə + r ə,,,pronouns,2
62,PTar,əmə(rə),ə m ə + r ə,Added EMP,meira1998proto[64],pronouns,2
63,PWai,omoro,o m o + r o,,,pronouns,2
64,PXin,omro,o m + r o,,,pronouns,2
65,tam,amare,a m a + r e,,gilij1781saggio[124],pronouns,2
66,uxc,eeɣe,ee + ɣ e,,meira2005southern[180],pronouns,2
67,wai,amoro,a m o + r o,,hawkins2015dictionary,pronouns,2
68,way,əmərə,ə m ə + r ə,,wayanatavares2005[180],pronouns,2
69,wmr,amɨrɨ,a m ɨ + r ɨ,,waimiribruno2003[77],pronouns,2
70,yab,mərə,m ə + r ə,,mattei2003pemono[49],pronouns,2
71,yuk,amo(r),a m o + r,,largo2011yukpa[57],pronouns,2
72,PPP,ju(rə)to,j u + r ə + t o,,,pronouns,12
73,PPem,jurətokon,j u + r ə + t o + k o n,,,pronouns,12
74,pan,juto,j u + t o,,panarepayne2013[88],pronouns,12
75,kar,kɨʔko,k ɨ + ʔ k o,Surinamese Kari’ña.,courtz2008carib[52],pronouns,12
76,PPar,kɨ?(ro),k ɨ + + r o,,,pronouns,12
77,aku,kɨmə,k ɨ + m ə,,meira1998proto[64],pronouns,12
