ID,Language_ID,Form,Segments,Comment,Source,Contribution_ID,Parameter_ID
367,aka,serə,s e r ə,,akawaiocaesar2003[115],pronouns,proxinan
368,aku,t͡ʃerə,t͡ʃ e r ə,,meira1998proto[187],pronouns,proxinan
369,bak,ʃirə,ʃ i r ə,,meira2005southern[180],pronouns,proxinan
370,car,ərə,ə r ə,,guerrero2019carijo[86],pronouns,proxinan
371,kar,ero,e r o,,courtz2008carib[53],pronouns,proxinan
372,kax,soro,s o r o,,schuring2018kaxuyana[94],pronouns,proxinan
373,mak,erə,e r ə,,maquiritaricaceres2011[122],pronouns,proxinan
374,pan,sɨ(h),s ɨ h,,panarepayne2013[89],pronouns,proxinan
375,pem,sərə,s ə r ə,,garcia2006diccionario[77],pronouns,proxinan
376,PTar,(t͡ʃ)erə,t͡ʃ e r ə,,meira1998proto[67],pronouns,proxinan
377,tri,serə,s e r ə,,triomeira1999[154],pronouns,proxinan
378,uxc,iɣe,i ɣ e,,kuikurodossantos2007[55],pronouns,proxinan
379,way,herə,h e r ə,,wayanatavares2005[184],pronouns,proxinan
380,ing,sə(rə),s ə + r ə,,cruz2005fonologia[191],pronouns,proxinan
381,mac,sɨrɨrɨ,s ɨ r ɨ + r ɨ,,macushiabbott1991[105],pronouns,proxinan
382,apa,senɨ,s e n ɨ,,koehn1986apalai[95],pronouns,proxinan
383,car,enɨ,e n ɨ,,guerrero2019carijo[86],pronouns,proxinan
384,hix,onɨ,o n ɨ,,hixkaryanaderby1985[7],pronouns,proxinan
385,kar,enɨ,e n ɨ,,courtz2008carib[53],pronouns,proxinan
386,mac,seni,s e n i,,macushiabbott1991[105],pronouns,proxinan
387,PTar,(t͡ʃ)enɨ,t͡ʃ e n ɨ,,meira1998proto[67],pronouns,proxinan
388,tri,se(nɨ),s e n ɨ,,triomeira1999[154],pronouns,proxinan
389,way,sinɨ,s i n ɨ,,wayanatavares2005[184],pronouns,proxinan
390,yab,(s)eni,s e n i,check meaning,mendez1959yawarana[69],pronouns,proxinan
391,ikp,nen,n + e n,,ikpengpacheco2001[119],pronouns,proxinan
392,pem,senək,s e n ə k,,garcia2006diccionario[77],pronouns,proxinan
395,ikp,nejam,n + e + j a m,,ikpengpacheco2001[119],pronouns,proxinanpl
396,ing,sə(rə)jamə,s ə + r ə + j a m ə,,cruz2005fonologia[191],pronouns,proxinanpl
397,kar,erokon,e r o + k o n,,courtz2008carib[53],pronouns,proxinanpl
398,way,herəkom(o),h e r ə + k o m o,,wayanatavares2005[184],pronouns,proxinanpl
399,kax,soronne,s o r o + n n e,,,pronouns,proxinanpl
400,kar,enɨkon,e n ɨ + k o n,,courtz2008carib[53],pronouns,proxinanpl
401,way,sinkom(o),s i n + k o m o,,wayanatavares2005[184],pronouns,proxinanpl
403,tri,ohkɨja(mo),o h k ɨ + j a m o,,triomeira1999[154],pronouns,distanimpl
404,mac,uurɨʔkon,uu + r ɨ + ʔ + k o n,,macushiabbott1991[99],pronouns,12
405,pem,juurətokon,j uu + r ə + t o + k o n,,swiggers2010gramatica[120],pronouns,12
406,PPar,kɨ?(ro),k ɨ + + r o,,,pronouns,12
407,PWai,kɨwɨ(ro),k ɨ + w ɨ + r o,,,pronouns,12
408,PPar,amna,a m n a,,,pronouns,13
409,yuk,amora,a m o + r + a,,meiraDByukpa,pronouns,2pl
410,mac,amɨrɨʔnɨkon,a m ɨ + r ɨ + ʔ n ɨ + k o n,,macushiabbott1991[99],pronouns,2pl
411,pem,amərənokon,a m ə + r ə + n o + k o n,,swiggers2010gramatica[120],pronouns,2pl
412,PPar,iro,i r o,,,pronouns,3anainan
413,PWai,ɨro,ɨ r o,,,pronouns,3anainan
414,uxc,ɨle,ɨ l e,,kuikurodossantos2007[55],pronouns,3anainan
415,wai,ero,e r o,,waiwaihawkins1998[55],pronouns,3anainan
416,tri,irəto(mo),i r ə + t o m o,,triomeira1999[154],pronouns,3anainanpl
417,tri,mənto(mo),m ə n + t o m o,,triomeira1999[154],pronouns,invisinanpl
418,tri,mə(kɨ),m ə k ɨ,,triomeira1999[154],pronouns,invisanim
419,uxc,ekise,e k i + s e,,kuikurodossantos2007[55],pronouns,distanim
420,uxc,eekise,ee k i + s e,,kuikurodossantos2007[55],pronouns,invisanim
421,tri,mə(kɨ)ja(mo),m ə k ɨ + j a m o,,triomeira1999[154],pronouns,invisanimpl
422,PPem,mərə,m ə r ə,,,pronouns,medinan
423,PPem,sərə,s ə r ə,,,pronouns,proxinan
424,pan,sɨ(h)kon,s ɨ h + k o n,,panarepayne2013[89],pronouns,proxinanpl
425,tri,serəto(mo),s e r ə + t o m o,,triomeira1999[154],pronouns,proxinanpl
426,tri,sento(mo),s e n + t o m o,,triomeira1999[154],pronouns,proxinanpl
427,mac,toʔ,t o ʔ,,macushiabbott1991[99],pronouns,3anapl
428,pem,toʔ,t o ʔ,,swiggers2010gramatica[120],pronouns,3anapl
432,pan,muku(h),m u k u h,,panarepayne2013[89],pronouns,distanim
433,pan,mu(h),m u h,,panarepayne2013[89],pronouns,distinan
444,uxc,eɣe,e ɣ e,,kuikurodossantos2007[55],pronouns,distinan
445,wai,on,o n,,waiwaihawkins1998[97],pronouns,proxinan
456,PC,əmjamo,ə m + j a m o,,meira2002first[271],pronouns,2pl
457,tam,amɲamoro,a m + ɲ a m o + r o,,meira2002first[258],pronouns,2pl
458,tam,kiwe,k i + w e,First vowel is probably ɨ.,meira2002first[258],pronouns,12
459,tam,kikemo,k i + k e m o,First vowel is probably ɨ.,meira2002first[258],pronouns,12pl
460,kar,kɨmoro,k ɨ + m o + r o,Venezuelan Kari’ña,courtz2008carib[52],pronouns,12
461,kar,kɨmojaro,k ɨ + m o + j a + r o,Venezuelan Kari’ña,courtz2008carib[52],pronouns,12pl
463,tam,make,m a k e,Probably məkɨ.,meira2002first[269],pronouns,distanim
464,bak,məkə,m ə k ə,,meiraDBbakairi,pronouns,distanim
466,tam,krere,k + r e + r e,Probably krərə or krɨrɨ.,meira2002first[269],pronouns,medanim
467,PWai,ɨro,ɨ r o,,,pronouns,3anainan
468,PPar,iro,i r o,,,pronouns,3anainan
469,bak,inəra,i n ə r a,,meira2002first[269],pronouns,3anaanim
470,aku,nərə,n ə r ə,,meiraDBakuriyo,pronouns,3anaanim
471,tam,nare,n a r e,Probably nərə.,meira2002first[269],pronouns,3anaanim
472,aku,namoro,n + a m o + r o,,meira2002first[269],pronouns,3anaanimpl
473,kar,ɲoro,ɲ o r o,Venezuelan Kari’ña,mosonyi1978kalina[35],pronouns,3anaanim
474,kar,ɲorokon,ɲ o r o + k o n,Venezuelan Kari’ña. Also check ɲoronnekonro (?) in Alvarez 2016!,mosonyi1978kalina[35],pronouns,3anaanimpl
475,PWai,inamoro,i n + a m o + r o,,,pronouns,3anaanimpl
476,PPar,inamoro,i n + a m o + r o,,,pronouns,3anaanimpl
482,ara,en,e n,,alves2017arara[117],pronouns,proxinan
486,ara,ero,e r o,,alves2017arara[184],pronouns,proxinan
494,tam,kiamoro,k + i a m o + r o,Probably k(ɨ)jamoro.,meira2002first[269],pronouns,medanimpl
495,tam,mukiamo,m u k + i a m o,Probably mək(ɨ)jamo.,meira2002first[269],pronouns,distanimpl
496,pan,mukukon,m u k u + k o n,,mattei1994diccionario[139],pronouns,distanimpl
498,PWai,mokjamo,m o k + j a m o,,,pronouns,distanimpl
499,PPar,mokjamo,m o k + j a m o,,,pronouns,distanimpl
500,PWai,mokɨ,m o k ɨ,,,pronouns,distanim
501,PPar,mokɨ,m o k ɨ,,,pronouns,distanim
502,tam,t͡ʃene,t͡ʃ e n e,Probably t͡ʃenɨ.,meira2002first[269],pronouns,proxinan
503,tam,more,m o r e,Probably mərə.,meira2002first[269],pronouns,medinan
504,yab,mənɨ,m ə n ɨ,,muller2021yawarana,pronouns,distinan
505,aku,t͡ʃenɨ,t͡ʃ e n ɨ,,meiraDBakuriyo,pronouns,proxinan
506,PXin,en,e n,,,pronouns,proxinan
507,PPek,(t͡ʃ)en,t͡ʃ e n,,,pronouns,proxinan
508,PXin,moro,m o r o,,,pronouns,medinan
509,PPek,mərə,m ə r ə,,,pronouns,medinan
510,PPek,(t͡ʃ)erə,t͡ʃ e r ə,,,pronouns,proxinan
511,PXin,ero,e r o,,,pronouns,proxinan
512,PXin,mon,m o n,,,pronouns,distinan
513,PWai,onɨ,o n ɨ,,,pronouns,proxinan
514,PPar,soro,s o r o,,,pronouns,proxinan
515,PWai,moro,m o r o,,,pronouns,medinan
516,PPar,moro,m o r o,,,pronouns,medinan
517,PWai,monɨ,m o n ɨ,,,pronouns,distinan
518,PPar,monɨ,m o n ɨ,,,pronouns,distinan
519,PPem,sərə,s ə r ə,,,pronouns,proxinan
