ID	DOCULECT	CONCEPT	CONCEPTID	IPA	SEGMENTS	COGIDS	ALIGNMENT
0	aka	1	1	urə	u + r ə	1 2	- - u + r ə
1	aku	1	1	wɨ	w ɨ	1	- w ɨ
2	apa	1	1	ɨwɨ	ɨ w ɨ	1	ɨ w ɨ
3	ara	1	1	uro	u + r o	1 2	- - u + r o
4	bak	1	1	urə	u + r ə	1 2	- - u + r ə
5	car	1	1	əwɨ	ə w ɨ	1	ə w ɨ
6	hix	1	1	uro	u + r o	1 2	- - u + r o
7	ikp	1	1	uro	u + r o	1 2	- - u + r o
8	ing	1	1	urə	u + r ə	1 2	- - u + r ə
9	kar	1	1	awu	a w u	1	a w u
10	kax	1	1	owɨ	o w ɨ	1	o w ɨ
11	mac	1	1	uurɨ	uu + r ɨ	1 2	- - uu + r ɨ
12	mak	1	1	ewɨ	e w ɨ	1	e w ɨ
13	map	1	1	wɨhɨ	w ɨ + h ɨ	1 23	- w ɨ + h ɨ
14	map	1	1	uhɨ	u + h ɨ	1 23	- - u + h ɨ
15	pan	1	1	ju	j u	1	- j u
16	PC	1	1	əwɨ(rə)	ə w ɨ + r ə	1 2	ə w ɨ + r ə
17	pem	1	1	juurə	j uu + r ə	1 2	- j uu + r ə
18	PMan	1	1	wɨrə	w ɨ + r ə	1 2	- w ɨ + r ə
19	PMan	1	1	wɨhɨ	w ɨ + h ɨ	1 23	- w ɨ + h ɨ
20	pno	1	1	urə	u + r ə	1 2	- - u + r ə
21	pno	1	1	wɨh	w ɨ + h	1 23	- w ɨ + h -
22	PPar	1	1	owɨ(ro)	o w ɨ + r o	1 2	o w ɨ + r o
23	PPek	1	1	urə	u + r ə	1 2	- - u + r ə
24	PPem	1	1	jurə	j u + r ə	1 2	- j u + r ə
25	PPP	1	1	ju(rə)	j u + r ə	1 2	- j u + r ə
26	PTar	1	1	əwɨ	ə w ɨ	1	ə w ɨ
27	PTir	1	1	wɨ	w ɨ	1	- w ɨ
28	PWai	1	1	owɨ(ro)	o w ɨ + r o	1 2	o w ɨ + r o
29	PXin	1	1	uro	u + r o	1 2	- - u + r o
30	tam	1	1	ure	u + r e	1 2	- - u + r e
31	tri	1	1	wɨ(ɨ)	w ɨɨ	1	- w ɨɨ
32	uxc	1	1	uɣe	u + ɣ e	1 2	- - u + ɣ e
33	wai	1	1	owɨ	o w ɨ	1	o w ɨ
34	way	1	1	ɨwu	ɨ w u	1	ɨ w u
35	wmr	1	1	awɨ	a w ɨ	1	a w ɨ
36	yab	1	1	wɨrə	w ɨ + r ə	1 2	- w ɨ + r ə
37	yuk	1	1	awɨ(r)	a w ɨ + r	1 2	a w ɨ + r -
38	aka	2	2	amərə	a m ə + r ə	4 2	- a m ə + r ə
39	aku	2	2	əmə	ə m ə	4	- ə m ə
40	apa	2	2	omoro	o m o + r o	4 2	- o m o + r o
41	ara	2	2	omoro	o m o + r o	4 2	- o m o + r o
42	bak	2	2	əmə	ə m ə	4	- ə m ə
43	car	2	2	əmərə	ə m ə + r ə	4 2	- ə m ə + r ə
44	hix	2	2	omoro	o m o + r o	4 2	- o m o + r o
45	ikp	2	2	omro	o m + r o	4 2	- o m - + r o
46	ing	2	2	amərə	a m ə + r ə	4 2	- a m ə + r ə
47	kar	2	2	amoro	a m o + r o	4 2	- a m o + r o
48	kax	2	2	omoro	o m o + r o	4 2	- o m o + r o
49	mac	2	2	amɨrɨ	a m ɨ + r ɨ	4 2	- a m ɨ + r ɨ
50	mak	2	2	amərə	a m ə + r ə	4 2	- a m ə + r ə
51	map	2	2	(m)ərə	m ə + r ə	4 2	m ə - - + r ə
52	pan	2	2	amən	a m ə + n	4 2	- a m ə + n -
53	PC	2	2	əmə(rə)	ə m ə + r ə	4 2	- ə m ə + r ə
54	pem	2	2	amərə	a m ə + r ə	4 2	- a m ə + r ə
55	PMan	2	2	mərə	m ə + r ə	4 2	m ə - - + r ə
56	pno	2	2	mərə	m ə + r ə	4 2	m ə - - + r ə
57	PPar	2	2	omoro	o m o + r o	4 2	- o m o + r o
58	PPek	2	2	əmərə	ə m ə + r ə	4 2	- ə m ə + r ə
59	PPem	2	2	amərə	a m ə + r ə	4 2	- a m ə + r ə
60	PPP	2	2	amərə	a m ə + r ə	4 2	- a m ə + r ə
61	PTar	2	2	əmə(rə)	ə m ə + r ə	4 2	- ə m ə + r ə
62	PTir	2	2	əmə	ə m ə	4	- ə m ə
63	PTir	2	2	əmə	ə m ə	4	- ə m ə
64	PWai	2	2	omoro	o m o + r o	4 2	- o m o + r o
65	PXin	2	2	omoro	o m o + r o	4 2	- o m o + r o
66	tam	2	2	amare	a m a + r e	4 2	- a m a + r e
67	tri	2	2	əmə	ə m ə	4	- ə m ə
68	uxc	2	2	eeɣe	ee + ɣ e	4 2	- ee - - + ɣ e
69	wai	2	2	amoro	a m o + r o	4 2	- a m o + r o
70	way	2	2	əmərə	ə m ə + r ə	4 2	- ə m ə + r ə
71	wmr	2	2	amɨrɨ	a m ɨ + r ɨ	4 2	- a m ɨ + r ɨ
72	yab	2	2	mərə	m ə + r ə	4 2	m ə - - + r ə
73	yuk	2	2	amo(r)	a m o + r	4 2	- a m o + r -
74	aku	12	12	kɨmə	k ɨ + m ə	7 24	k ɨ + m ə
75	apa	12	12	kɨmoro	k ɨ + m o + r o	7 24 2	k ɨ + m o + r o
76	ara	12	12	ugoro	u g o + r o	9 2	- u g o + r o
77	car	12	12	kɨmərə	k ɨ + m ə + r ə	7 24 2	k ɨ + m ə + r ə
78	hix	12	12	kɨwro	k ɨ + w + r o	7 22 2	k ɨ + w - + r o
79	ikp	12	12	ugro	u g + r o	9 2	- u g - + r o
80	kar	12	12	kɨʔko	k ɨ + ʔ k o	7 28	k ɨ + ʔ k o
81	kar	12	12	kɨmoro	k ɨ + m o + r o	7 24 2	k ɨ + m o + r o
82	kax	12	12	kumoro	k u + m o + r o	7 24 2	k u + m o + r o
83	mac	12	12	uurɨʔkon	uu + r ɨ + ʔ + k o n	1 2 21 8	- - uu + r ɨ + - - ʔ - + k o n -
84	mak	12	12	kɨwɨ	k ɨ + w ɨ	7 22	k ɨ + w ɨ
85	map	12	12	eʔnə	e ʔ n ə	25	e ʔ - n ə
86	pan	12	12	juto	j u + t o	1 21	- j u + t o - -
87	pem	12	12	juurəto	j uu + r ə + t o	1 2 21	- j uu + r ə + t o - -
88	PMan	12	12	epɨnə	e p ɨ n ə	25	e p ɨ n ə
89	pno	12	12	eʔnə	e ʔ n ə	25	e ʔ - n ə
90	PPar	12	12	kɨ?(ro)	k ɨ + + r o	7 3 2	k ɨ + - + r o
91	PPek	12	12	ukurə	u k u + r ə	9 2	- u k u + r ə
92	PPem	12	12	jurətokon	j u + r ə + t o + k o n	1 2 21 8	- j u + r ə + t o - - + k o n -
93	PPP	12	12	ju(rə)to	j u + r ə + t o	1 2 21	- j u + r ə + t o - -
94	PTar	12	12	kɨmə(rə)	k ɨ + m ə + r ə	7 24 2	k ɨ + m ə + r ə
95	PTir	12	12	kɨmə	k ɨ + m ə	7 24	k ɨ + m ə
96	PWai	12	12	kɨwɨ(ro)	k ɨ + w ɨ + r o	7 22 2	k ɨ + w ɨ + r o
97	PXin	12	12	ugoro	u g o + r o	9 2	- u g o + r o
98	tam	12	12	kiwe	k i + w e	7 22	k i + w e
99	tri	12	12	kɨmə	k ɨ + m ə	7 24	k ɨ + m ə
100	uxc	12	12	kukuɣe	k u k u + ɣ e	9 2	k u k u + ɣ e
101	wai	12	12	kɨɨwɨ	k ɨɨ + w ɨ	7 22	k ɨɨ + w ɨ
102	way	12	12	kunmə	k u + n + m ə	7 3 24	k u + - + m ə
103	wmr	12	12	kɨkɨ	k ɨ k ɨ	9	k ɨ k ɨ
104	yab	12	12	ehnə	e h n ə	25	e h - n ə
105	yuk	12	12	epɨ	e p ɨ	25	e p - - ɨ
106	bak	12	12	kurə	k u + r ə	9 2	k u - - + r ə
107	bak	12pl	12pl	kurə	k u + r ə	9 2	k u - - + r ə
108	aka	12pl	12pl	urəʔnokon	u + r ə + ʔ n o + k o n	1 2 27 8	- - u + r ə + ʔ n o + k o n -
109	aku	12pl	12pl	kɨ(mə)njamo	k ɨ + m ə + n + j a m o	7 24 24 10	k ɨ + m ə + n - + j a - m o
110	apa	12pl	12pl	kɨmarokomo	k ɨ + m a + r o + k o m o	7 24 2 8	k ɨ + m a + r o + k o m o
111	ara	12pl	12pl	ugoroŋmo	u g o + r o + ŋ m o	9 2 8	- u g o + r o + ŋ - m o
112	car	12pl	12pl	kɨɲamoro	k ɨ + ɲ + a m o + r o	7 24 10 2	k ɨ + ɲ - + - a - m o + r o
113	hix	12pl	12pl	kɨwjamo	k ɨ + w + j a m o	7 22 10	k ɨ + w - + j a - m o
114	ikp	12pl	12pl	ugroŋmo	u g + r o + ŋ m o	9 2 8	- u g - + r o + ŋ - m o
115	ing	12pl	12pl	urəʔnokon	u + r ə + ʔ n o + k o n	1 2 27 8	- - u + r ə + ʔ n o + k o n -
116	kar	12pl	12pl	kɨʔkaro(n)	k ɨ + ʔ k + a + r o + n	7 28 10 2 3	k ɨ + ʔ k - + - a - - - + r o + -
117	kar	12pl	12pl	kɨmojaro	k ɨ + m o + j a + r o	7 24 10 2	k ɨ + m o + j a - - - + r o
118	kax	12pl	12pl	kɨmjarɨ	k ɨ + m + j a + r ɨ	7 24 10 2	k ɨ + m - + j a - - - + r ɨ
119	mac	12pl	12pl	uurɨʔnɨkon	uu + r ɨ + ʔ n ɨ + k o n	1 2 27 8	- - uu + r ɨ + ʔ n ɨ + k o n -
120	mak	12pl	12pl	kɨnwanno	k ɨ + n + w a n + n o	7 24 10 2	k ɨ + n - + w a - n - + n o
121	pan	12pl	12pl	jutakon	j u + t a + k o n	1 3 8	- j u + - + k o n -
122	pem	12pl	12pl	juurənokon	j uu + r ə + n o + k o n	1 2 27 8	- j uu + r ə + - n o + k o n -
123	pem	12pl	12pl	juurətokon	j uu + r ə + t o + k o n	1 2 21 8	- j uu + r ə + t o - - + k o n -
124	PPar	12pl	12pl	kɨ?jamo(ro)	k ɨ + + j a m o + r o	7 3 10 2	k ɨ + - + j a - m o + r o
125	PPem	12pl	12pl	jurəʔnokon	j u + r ə + ʔ n o + k o n	1 2 27 8	- j u + r ə + ʔ n o + k o n -
126	PTar	12pl	12pl	kɨnjamo	k ɨ + n + j a m o	7 24 10	k ɨ + n - + j a - m o
127	PTir	12pl	12pl	kɨ(mə)njamo	k ɨ + m ə + n + j a m o	7 24 24 10	k ɨ + m ə + n - + j a - m o
128	PWai	12pl	12pl	kɨwjamo	k ɨ + w + j a m o	7 22 10	k ɨ + w - + j a - m o
129	PXin	12pl	12pl	ugoroŋmo	u g o + r o + ŋ m o	9 2 8	- u g o + r o + ŋ - m o
130	tam	12pl	12pl	kikemo	k i + k e m o	7 8	k i + k e m o
131	tri	12pl	12pl	kɨmənjamo	k ɨ + m ə + n + j a m o	7 24 24 10	k ɨ + m ə + n - + j a - m o
132	uxc	12pl	12pl	kukuɣeko	k u k u + ɣ e + k o	9 2 8	k u k u + ɣ e + k o - -
133	wai	12pl	12pl	kɨwjam	k ɨ + w + j a m	7 22 10	k ɨ + w - + j a - m -
134	way	12pl	12pl	kunməramkomo	k u + n + m ə + r + a m + k o m o	7 3 24 2 10 8	k u + - + m ə + r - + - a - m - + k o m o
135	aka	13	13	ina	i n a	5	i - n - - - a
136	aku	13	13	anja	a n j a	5	a - n - - j a
137	apa	13	13	ɨna	ɨ n a	5	ɨ - n - - - a
138	ara	13	13	t͡ʃimna	t͡ʃ i + m n a	6 5	t͡ʃ i + - m n - - - a
139	bak	13	13	ʃina	ʃ i + n a	6 5	ʃ i + - - n - - - a
140	car	13	13	aɲa	a ɲ a	5	a - ɲ - - - a
141	hix	13	13	amna	a m n a	5	a m n - - - a
142	ikp	13	13	t͡ʃimna	t͡ʃ i + m n a	6 5	t͡ʃ i + - m n - - - a
143	ing	13	13	ina	i n a	5	i - n - - - a
144	kar	13	13	naʔna	n a ʔ n a	5	- - n a ʔ n a
145	kax	13	13	amna	a m n a	5	a m n - - - a
146	mac	13	13	anna	a n n a	5	a - n - - n a
147	mak	13	13	nɲa	n ɲ a	5	- - n - - ɲ a
148	map	13	13	naha	n a h a	5	- - n a h - a
149	pan	13	13	ana	a n a	5	a - n - - - a
150	pem	13	13	inna	i n n a	5	i - n - - n a
151	PMan	13	13	ana	a n a	5	a - n - - - a
152	pno	13	13	ana	a n a	5	a - n - - - a
153	PPar	13	13	amna	a m n a	5	a m n - - - a
154	PPek	13	13	t͡ʃimna	t͡ʃ i + m n a	6 5	t͡ʃ i + - m n - - - a
155	PPem	13	13	inna	i n n a	5	i - n - - n a
156	PPP	13	13	inna	i n n a	5	i - n - - n a
157	PTar	13	13	anja	a n j a	5	a - n - - j a
158	PTir	13	13	anja	a n j a	5	a - n - - j a
159	PWai	13	13	amna	a m n a	5	a m n - - - a
160	PXin	13	13	t͡ʃimna	t͡ʃ i + m n a	6 5	t͡ʃ i + - m n - - - a
161	tam	13	13	jumna	j u + m n a	1 5	- j u + - m n - - - a
162	tri	13	13	anja	a n j a	5	a - n - - j a
163	uxc	13	13	tisuɣe	t i s + u + ɣ e	3 1 2	- + - - u + ɣ e
164	wai	13	13	amna	a m n a	5	a m n - - - a
165	way	13	13	emna	e m n a	5	e m n - - - a
166	wmr	13	13	aʔa	a ʔ a	5	- - - a ʔ - a
167	yab	13	13	ana	a n a	5	a - n - - - a
168	yuk	13	13	nana(r)	n a n a + r	5 2	- - n a - n a + r -
169	aka	2pl	2pl	amərəʔnokon	a m ə + r ə + ʔ n o + k o n	4 2 27 8	- a m ə + r ə + ʔ n o + k o n -
170	aku	2pl	2pl	əmənjamo	ə m ə + n + j a m o	4 4 10	- ə m ə + - - n - + j a - m o
171	apa	2pl	2pl	amarakomo	a m a + r a + k o m o	4 2 8	- a m a + r a + k o m o
172	ara	2pl	2pl	omoroŋmo	o m o + r o + ŋ m o	4 2 8	- o m o + r o + ŋ - m o
173	bak	2pl	2pl	əmaremo	ə m a + r + e m o	4 2 10	- ə m a + r - + - e - m o
174	car	2pl	2pl	aɲamoro	a ɲ + a m o + r o	4 10 2	- a ɲ - + - a - m o + r o
175	hix	2pl	2pl	omɲamo	o m + ɲ a m o	4 10	- o m - + ɲ a - m o
176	ikp	2pl	2pl	omroŋmo	o m + r o + ŋ m o	4 2 8	- o m - + r o + ŋ - m o
177	ing	2pl	2pl	amərəʔnokon	a m ə + r ə + ʔ n o + k o n	4 2 27 8	- a m ə + r ə + ʔ n o + k o n -
178	kar	2pl	2pl	amɨjaro(n)	a m ɨ + j a + r o + n	4 10 2 3	- a m ɨ + j a - - - + r o + -
179	kax	2pl	2pl	omjarɨ	o m + j a + r ɨ	4 10 2	- o m - + j a - - - + r ɨ
180	mac	2pl	2pl	amɨrɨʔnɨkon	a m ɨ + r ɨ + ʔ n ɨ + k o n	4 2 27 8	- a m ɨ + r ɨ + ʔ n ɨ + k o n -
181	mak	2pl	2pl	ənwanno	ə n + w a n + n o	4 10 2	- ə n - + w a - n - + n o
182	map	2pl	2pl	akontomo	a + k o n + t o m o	4 8 21	- a - - + k o n - + t o m o
183	pan	2pl	2pl	amənton	a m ə + n + t o n	4 2 21	- a m ə + n - + t o n -
184	PC	2pl	2pl	əmjamo	ə m + j a m o	4 10	- ə m - + j a - m o
185	pem	2pl	2pl	amərənokon	a m ə + r ə + n o + k o n	4 2 27 8	- a m ə + r ə + - n o + k o n -
186	PMan	2pl	2pl	məkontomo	m ə + k o n + t o m o	4 8 21	m ə - - + k o n - + t o m o
187	pno	2pl	2pl	mokontomo	m o + k o n + t o m o	4 8 21	m o - - + k o n - + t o m o
188	PPar	2pl	2pl	omjamo(ro)	o m + j a m o + r o	4 10 2	- o m - + j a - m o + r o
189	PPek	2pl	2pl	əmərəjamo	ə m ə + r ə + j a m o	4 2 3	- ə m ə + r ə + -
190	PPem	2pl	2pl	amərəʔnokon	a m ə + r ə + ʔ n o + k o n	4 2 27 8	- a m ə + r ə + ʔ n o + k o n -
191	PPP	2pl	2pl	amərə?	a m ə + r ə +	4 2 3	- a m ə + r ə + -
